Rank	Team	Elo (initial 25)
1	Citrus Circuits (1678)	3117.290787449314
2	Roboteers (2481)	3004.0632709774004
3	CyberKnights (195)	2831.2824743148512
4	The HOT Team (67)	2803.074851692938
5	OP Robotics (2056)	2775.66462802974
6	The Cheesy Poofs (254)	2766.9353422696463
7	Robowranglers (148)	2765.99137027053
8	The Beach Bots (330)	2759.086804434058
9	Mechanical Mayhem (1519)	2735.8631822977804
10	THEORY6 (1241)	2730.8902863798626
11	Robonauts (118)	2717.008241572517
12	B.E.R.T. (133)	2708.7492752421413
13	Alberta Tech Alliance (ATA) (4334)	2688.833266573499
14	BumbleB (3339)	2688.1100779268463
15	HIGHROLLERS (987)	2667.376686885346
16	TechFire (225)	2652.5475746115944
17	Spartan Robotics (971)	2617.690305816986
18	Orbit (1690)	2603.9089758272216
19	Team Dave (3683)	2574.26787583066
20	Swartdogs (525)	2572.71556935719
21	Walton Robotics (2974)	2547.235889882616
22	Team Tators (2122)	2542.4305658018047
23	S.P.A.M. (180)	2527.366360137188
24	Team Titanium (1986)	2519.1399871349263
25	Cyborg Ferrets (3238)	2517.577758837233
26	CyberCavs (4678)	2514.5126784131185
27	Hawaiian Kids (359)	2501.1281038489537
28	Children of the Swamp (179)	2500.5122502137106
29	PWNAGE (2451)	2495.966722559713
30	S.W.A.T. (1806)	2487.9480825366636
31	Martians (494)	2481.468900922201
32	ThunderChickens (217)	2473.658438291714
33	Kil-A-Bytes (1024)	2459.176089628748
34	The East Ridge Robotic Ominous RaptorS - the ERRORS (3130)	2449.6566808652874
35	Black Hawk Robotics (3310)	2446.7994836462926
36	KnightKrawler (2052)	2444.883127963407
37	Code Orange (3476)	2437.5393885979383
38	Breakaway (3937)	2436.769618211994
39	Bomb Squad (16)	2418.25912220455
40	Bionic Black Hawks (2834)	2410.21639719015
41	Orange Chaos (4564)	2391.1643916320722
42	Killer Bees (33)	2388.9846278803384
43	MakeShift Robotics (4039)	2387.888771666017
44	Team THRUST (1501)	2386.84365825478
45	Vae Victis (1418)	2386.064925039443
46	Cow Town Robotics (5050)	2375.220848328717
47	Bedford Express (1023)	2368.91298641189
48	Robo  Lions (1261)	2366.1670527436195
49	OTTO (1746)	2365.3181894385602
50	NC GEARS (1918)	2361.291939246508
51	Norsemen (3688)	2353.3502518766354
52	Code Red Robotics the Stray Dogs (2771)	2351.7344807064655
53	Skunk Works Robotics (1983)	2349.6754610662774
54	Greybots (973)	2349.0835871771424
55	Raider Robotix (25)	2348.65761766193
56	Rogue Robotics (2987)	2346.852400712652
57	The Automatons (2823)	2346.3268151684797
58	R.A.I.D. (Raider Artificial Intelligence DIvision) (4469)	2344.1487165009266
59	RAMS ROBOTICS (4001)	2340.908896262986
60	Error Code Xero (1425)	2335.0922562121523
61	F.R.E.D (Fighting Rednecks Engineering and Design) (2883)	2333.2956454708205
62	The Rocketeers (20)	2332.23955426186
63	High Voltage (231)	2327.866745071343
64	Stryke Force (2767)	2326.752295164166
65	Team Kika Mana (368)	2324.7285183832596
66	Jersey Voltage (4587)	2323.2062132139126
67	NUTRONs (125)	2322.2237084760336
68	Gators (5172)	2321.1616465227157
69	Beach Cities Robotics (294)	2319.7440689203477
70	Hybrid Hornets (5150)	2313.6076064448175
71	Nemesis (2590)	2312.9069048814085
72	Robo Dynasty (4726)	2309.525708886562
73	RoboChargers (3005)	2307.3815939521915
74	Gear It Forward (2338)	2306.6138802816627
75	Team RUSH (27)	2300.844164443615
76	The RoboBees (836)	2299.6934910675186
77	HYPE (5254)	2297.43259598392
78	Excel (2474)	2290.121589971592
79	Tech for Kids (3990)	2287.418191076545
80	Shark Attack (744)	2283.453850188838
81	Crescent Robotics (610)	2283.046420229206
82	Team Appreciate (2468)	2281.106826306366
